Marca temporal;PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
10/6/2020 13:41:19;Agronomía, Mención Producción Agrícola Sostenible;9;9;9;8;9;9;8;9;8;8;9;9;9;9;8;9;9;9;9;9;9;8;9;9;8;8;7;8;8;9;7;9;9;8;8;9;8;8;8;9;8;9;8;8;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:41:26;Agronomía, Mención Agricultura Sostenible;9;8;7;9;9;9;7;9;9;9;9;8;9;9;9;9;9;9;9;9;6;7;8;7;7;8;3;6;9;7;7;8;8;6;8;9;9;9;4;8;8;7;7;7;9;8;7;7;7;7;7;7;8;8
10/6/2020 13:43:55;Agroindustria;8;6;8;7;7;8;7;8;7;7;7;7;7;7;7;7;7;7;7;7;8;7;8;8;8;8;8;8;8;8;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
10/6/2020 13:46:03;Matemática;7;9;7;4;8;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;5;3;5;9;9;9;5;4;9;7;7;9;3;7;9;4;9;5;9;7;7;1;9;8;7;7;9;9;7;9;9;9;9
10/6/2020 13:46:31;Agroindustria;7;7;7;7;7;7;6;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;8;7;8;8;8;8;7;7;8;7;7;7;7;7;7;7;8;7;7;8;7;7;8;8;8;8;8;8;8
10/6/2020 13:49:34;Agroindustria;8;6;7;9;8;9;6;7;8;7;7;6;7;8;7;7;7;7;7;7;6;7;7;8;5;6;6;6;5;7;5;7;8;4;7;7;6;7;7;9;9;9;9;7;7;8;8;9;7;6;9;7;8;7
10/6/2020 13:49:40;Optometría, Mención Contactología y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;7;8;9;9;5;7;9;9;9;9;9;9;9;9;8;9;9;9;9;9;5;9;9;9;9;9;7;9;9;9;9;9
10/6/2020 13:49:57;Matemática;8;8;9;8;8;8;9;9;9;9;9;8;9;9;9;9;9;9;9;9;8;9;5;8;8;8;9;6;5;8;9;9;9;5;9;9;8;9;9;9;9;9;3;9;9;9;9;9;9;9;9;8;9;9
10/6/2020 13:50:09;Agronomía, Mención Producción Agrícola Sostenible;5;9;7;9;9;9;7;8;6;9;7;5;8;7;7;7;7;8;7;8;7;1;5;6;9;8;7;1;8;8;1;5;7;7;7;7;8;7;8;7;7;8;8;9;8;2;7;7;7;5;4;7;4;7
10/6/2020 13:50:09;Matemática;7;8;9;9;6;7;9;8;8;7;7;6;5;6;8;6;7;7;7;7;8;8;7;9;9;8;7;7;5;8;7;9;9;7;7;8;8;7;9;8;9;9;9;8;8;8;8;9;9;9;9;9;8;8
10/6/2020 13:50:22;Matemática;7;7;8;8;8;7;7;8;8;8;7;7;9;8;7;8;8;8;8;9;8;7;7;7;9;8;8;7;7;5;6;6;7;7;7;9;6;8;7;7;7;8;3;8;7;5;7;5;7;7;8;8;8;7
10/6/2020 13:50:22;Agronomía, Mención Agricultura Sostenible;9;9;8;7;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;5;7;7;7;9;9;8;9;6;9;8;9;9;6;9;9;9;9;5;6;6;7;8;8;9;9;9;7;9;9;9;8;8;9
10/6/2020 13:51:15;Desarrollo Local;7;7;9;8;9;8;7;7;8;7;8;9;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;7;7;6;6;8;8;5;7;7;7;7;5;8;7;8;5;8;7;7;7;8;8;8;8;8;8;8
10/6/2020 13:52:21;Agroindustria;6;9;8;8;9;8;9;8;8;8;9;8;9;8;9;8;8;8;9;8;7;8;8;7;8;9;8;8;9;7;8;8;7;8;9;9;9;9;9;8;8;9;8;9;8;8;9;9;9;9;9;8;7;8
10/6/2020 13:54:08;Desarrollo Local;9;9;8;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;7;9;8;8;8;8;8;8;7;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9
10/6/2020 13:54:24;Agroindustria;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:54:28;Agronomía, Mención Mecanización Agrícola;8;9;9;9;9;8;8;8;9;9;7;8;9;9;9;8;9;8;8;8;9;7;9;9;8;8;8;7;9;8;8;9;9;7;9;9;8;9;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;8
10/6/2020 13:54:46;Optometría, Mención Contactología y Terapia Visual;9;9;7;8;9;9;9;9;9;9;9;7;9;9;8;9;9;9;8;9;8;9;7;9;9;9;9;5;9;4;7;7;8;8;8;8;8;8;7;8;8;8;9;8;8;8;8;6;8;9;9;8;8;8
10/6/2020 13:54:59;Educación, Mención Enseñanza Básica;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:55:39;Optometría, Mención Contactología y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:55:42;Agronomía, Mención Mecanización Agrícola;8;8;9;8;8;8;9;9;8;8;8;7;9;8;8;8;8;8;8;9;9;8;8;8;8;8;7;7;7;7;7;7;8;7;7;9;8;7;9;9;8;9;5;8;8;8;8;8;8;7;8;8;8;8
10/6/2020 13:57:26;Desarrollo Local;9;7;8;9;9;9;6;9;9;9;7;7;9;9;9;9;9;9;8;8;9;9;9;9;9;9;8;8;8;5;5;7;9;7;9;9;9;9;7;9;9;9;9;9;9;5;9;9;9;8;8;8;9;9
10/6/2020 13:58:04;Agroindustria;8;8;9;9;9;7;7;9;8;8;7;7;8;6;7;7;7;7;6;8;8;7;7;8;9;9;7;9;8;7;5;8;9;8;8;7;7;7;7;9;9;9;9;9;8;8;8;9;8;7;8;8;8;7
10/6/2020 13:58:06;Matemática;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;7;8;8;9;8;8;8;8;8;8;9;8;8;8;9;9;9;9;9;9;8;9;9;9;9
10/6/2020 13:59:48;Optometría, Mención Contactología y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;8;6;8;9;9;9;8;3;7;5;7;8;7;9;9;9;9;9;9;9;9;9;2;7;9;9;9;9;9;8;9;9;9;9
10/6/2020 14:00:00;Matemática;6;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;7;8;9;9;9;9;8;8;6;9;9;7;4;2;1;9;9;8;9;9;9;7;9;9;9;9;1;9;8;9;9;9;9;9;9;5;9;9
10/6/2020 14:01:46;Matemática;7;8;9;9;3;9;9;9;9;8;8;7;9;9;9;9;9;9;9;9;5;7;6;9;6;8;5;1;5;4;7;7;9;6;6;9;6;9;5;7;7;7;1;8;8;7;7;5;6;6;8;8;8;8
10/6/2020 14:02:26;Matemática;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;1;9;9;9;5;1;8;9;8;9;9;5;9;9;8;9;9;9;9;9;4;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:02:29;Matemática;8;8;9;8;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;8;7;6;6;7;9;9;9;6;7;6;8;9;9;8;6;9;4;9;7;9;7;9;7;8;8;8;8;7;7;7;8;8;9;8
10/6/2020 14:02:58;Desarrollo Local;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;8;8;7;7;8;9;8;8;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:03:32;Ingeniería Química, Mención Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9
10/6/2020 14:04:31;Hidráulica, Mención Gestión de Recursos Hídricos;9;9;9;9;9;8;7;9;9;8;8;7;9;9;9;8;9;9;7;9;8;7;8;8;7;8;8;8;8;7;8;8;8;8;8;8;8;8;8;9;8;8;9;8;8;9;8;9;8;8;8;8;8;9
10/6/2020 14:05:56;Agronomía, Mención Agricultura Sostenible;7;7;8;8;8;7;6;7;8;7;6;7;8;8;7;8;7;8;7;7;8;7;7;8;7;7;7;7;7;7;7;7;8;8;7;8;8;7;7;7;7;7;7;7;7;7;8;7;7;8;7;7;7;8
