Programa;Variable_Adminicion;Variable_profesorado;Variable_formacion;Variable_infraestructura;Variable_economia;Variable_Logistica;Profesionalidad;Personal_directivo;Valoracion_integral
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;8
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;8
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;7
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;7;8;7;5;6,5;5;5;7;8
Gerencia de la Calidad e Innovacion;7;5;6;7;7;7;8;8;6
Optometria, Mencion Contactologia y Terapia Visual;9;9;8;9;8,5;9;8;9;8
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;8;8;8;8;9;9
Estadistica, Mencion Estadistica Aplicada;8;7;7;7;7;7;7;8;8
Estadistica, Mencion Estadistica Aplicada;7;9;9;5;6;5;9;7;9
Desarrollo Local;8;7;8;7;8;8;8;8;8
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9
Administracion de Empresas;4;7;8;7;8;6;8;8;7
Desarrollo Local;8;7;7;6;7;7;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;8;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;8;9;9;9;7,5;8;9;9;9
Desarrollo Local;9;7;7;7;5;7;7;8;7
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;5;8;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;8;8,5;8;9;9;9
Estadistica, Mencion Estadistica Aplicada;5;5;6;4;5,5;6;7;6;5
Ingenieria Agricola;9;8;9;8;8,5;8;8;8;8
Ingenieria Agricola;9;5;9;5;7;5;8;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;8;8;8;8;8;8;8;8;8
Ingenieria Agricola;8;8;7;7;7;7;7;7;7
Pedagogia, Mencion Bachillerato Tecnico;9;7;7;3;4;4;5;6;4
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;6;7;5;1;1;1;1;5;5
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;8;8;8,5;8;9;9;8
Agronomia, Mencion Agricultura Sostenible;9;9;8;7;8;8;9;9;8
Administracion de Empresas;2;2;2;2;2;2;2;2;2
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;8;9;9;9;9;9
Ingenieria Agricola;8;8;8;8;9;8;8;8;8
Bibliotecologia, Mencion Gestion de la Informacion;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;9;8;7;6,5;7;8;8;8
Ingenieria Quimica, Mencion Alimentos;7;8;7;5;5;7;7;7;7
Ingenieria Agricola;8;8;8;8;8;8;8;8;9
Hidraulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9
Desarrollo Local;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;7;8;8;8;8;9;9;9;9
Desarrollo Local;9;9;9;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;8
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;5;8;5;8;5;5;5;6;4
Optometria, Mencion Contactologia y Terapia Visual;7;9;9;7;7;7;6;8;8
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;8;9;9;7,5;9;8;9;8
Ingenieria Agricola;9;8;5;5;5;7;9;6;6
Quimica, Mencion Quimica Ambiental;9;9;8;8;6;7;7;9;9
Ingenieria Quimica, Mencion Ambiente;8;8;9;9;8;8;8;9;7
Ingenieria Agricola;9;9;8;8;8;8;8;8;8
Agronomia, Mencion Produccion Agricola Sostenible;7;9;7;5;6,5;6;7;8;8
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9
Bibliotecologia, Mencion Gestion de la Informacion;8;9;9;9;9;8;9;9;9
Zootecnia, Mencion Produccion Ganadera Sostenible;9;8;8;5;8;9;8;8;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;8;8;8;7;8;8;8;8
Bibliotecologia, Mencion Gestion de la Informacion;7;8;8;8;7;7;8;8;8
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;8;9;9
Quimica, Mencion Quimica Ambiental;6;6;7;7;8;7;8;7;7
Matematica;9;9;9;7;9;9;9;9;8
Quimica, Mencion Quimica Ambiental;8;9;9;8;8;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Matematica;9;9;9;5;7;1;9;9;6
Quimica, Mencion Quimica Ambiental;9;8;9;7;8,5;9;9;9;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;7;8;9;9;7;9;8;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;8;8;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Ingenieria Agricola con mencion en Agroecologia y Cambio Climatico;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;8;8;9;9;9;9;9;9;9
Administracion de Empresas;8;8;8;7;8;8;9;9;8
Ingenieria Quimica, Mencion Procesos Quimicos;8;8;8;8;8;8;8;8;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;7;8,5;6;7;9;7
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;8
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;8;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;8;7;8;8;8;8;8;8;9
Ingenieria Quimica, Mencion Procesos Quimicos;8;8;9;8;8,5;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;8;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;7;8;8;8;8;8;8;8;9
Ingenieria Agricola;9;8;9;9;9;9;9;8;7
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Administracion de Empresas;7;7;7;7;7;7;7;7;7
Hidraulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;8;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Matematica;7;9;9;9;8,5;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;9;9;9;9;9;9
Agroindustria;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
