Programa;Variable_Adminicion;Variable_profesorado;Variable_formacion;Variable_infraestructura;Variable_economia;Variable_Logistica;Profesionalidad;Personal_directivo;Valoracion_integral
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;8;7;8;8;8;8;8
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;3;9;7;8;8;8;7;8;8
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;8;8;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;7;8;8;8;8;8;8;8;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;8;9;9;8;8,5;8;8;8;8
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;8;9;8;8;9;8
Orientacion Familiar Integral;9;9;9;9;8,5;9;9;9;9
Orientacion Familiar Integral;9;8;9;8;9;9;9;9;8
Orientacion Familiar Integral;8;8;8;8;8;8;8;9;9
Orientacion Familiar Integral;3;9;7;8;8;8;7;8;8
Mantenimiento Industrial, Mencion Gestion Eficiente del Mantenimiento;7;6;6;5;7;6;7;7;7
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;8;8;8;8;8;8;8
Zootecnia, Mencion Produccion Ganadera Sostenible;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Orientacion Familiar Integral;9;8;8;8;8;8;9;9;9
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;8;6;8;8;8;8;6;8
Administracion de Empresas;8;8;8;8;8;8;8;7;8
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;8;9;8
Orientacion Familiar Integral;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;8;6;8;8;8;8;6;8
Mantenimiento Industrial, Mencion Gestion Eficiente del Mantenimiento;9;8;9;8;9;8;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;8;8;8;8;8
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;7;9;8;7;8;8;8;8;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
